Temperature: 17
Humidity: 25
Water amount: 986451
Animals:
1. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 130, Average Lifespan: 87600 hours, Age: 44808 hours, Count: 1
2. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 125, Average Lifespan: 87600 hours, Age: 44808 hours, Count: 1
3. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 140, Average Lifespan: 87600 hours, Age: 44808 hours, Count: 1
4. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
5. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
6. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
7. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
8. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
9. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
10. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
11. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
12. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
13. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 53568 hours, Count: 1
14. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 115, Average Lifespan: 175200 hours, Age: 97368 hours, Count: 1
15. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 130, Average Lifespan: 175200 hours, Age: 97368 hours, Count: 1
16. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 120, Average Lifespan: 175200 hours, Age: 97368 hours, Count: 1
17. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 71088 hours, Count: 1
18. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 175200 hours, Age: 71088 hours, Count: 1
19. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 175200 hours, Age: 71088 hours, Count: 1
20. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 131400 hours, Age: 71088 hours, Count: 1
21. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 131400 hours, Age: 71088 hours, Count: 1
22. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 120, Average Lifespan: 87600 hours, Age: 984 hours, Count: 1
23. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 135, Average Lifespan: 175200 hours, Age: 960 hours, Count: 1
24. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 122640 hours, Age: 936 hours, Count: 1
25. Name: fox, Species: Omnivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 35040 hours, Age: 936 hours, Count: 1
26. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 175200 hours, Age: 936 hours, Count: 1
27. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 131400 hours, Age: 936 hours, Count: 1
28. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 888 hours, Count: 1
29. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 888 hours, Count: 1
30. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 122640 hours, Age: 864 hours, Count: 1
31. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 95, Average Lifespan: 175200 hours, Age: 864 hours, Count: 1
32. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 131400 hours, Age: 864 hours, Count: 1
33. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 840 hours, Count: 1
34. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 840 hours, Count: 1
35. Name: fox, Species: Omnivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 35040 hours, Age: 816 hours, Count: 1
36. Name: roe, Species: Omnivore, Food Chain Level: Primary, Energy: 80, Average Lifespan: 87600 hours, Age: 816 hours, Count: 1
37. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 792 hours, Count: 1
38. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 175200 hours, Age: 792 hours, Count: 1
39. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 115, Average Lifespan: 175200 hours, Age: 768 hours, Count: 1
40. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 175200 hours, Age: 768 hours, Count: 1
41. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 744 hours, Count: 1
42. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 744 hours, Count: 1
43. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 175200 hours, Age: 744 hours, Count: 1
44. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 744 hours, Count: 1
45. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 744 hours, Count: 1
46. Name: goat, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 744 hours, Count: 1
47. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 720 hours, Count: 1
48. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 720 hours, Count: 1
49. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 122640 hours, Age: 720 hours, Count: 1
50. Name: goat, Species: Herbivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 131400 hours, Age: 720 hours, Count: 1
51. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 122640 hours, Age: 696 hours, Count: 1
52. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 696 hours, Count: 1
53. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 696 hours, Count: 1
54. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 175200 hours, Age: 696 hours, Count: 1
55. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 131400 hours, Age: 696 hours, Count: 1
56. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 672 hours, Count: 1
57. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 672 hours, Count: 1
58. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 175200 hours, Age: 672 hours, Count: 1
59. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 145, Average Lifespan: 175200 hours, Age: 648 hours, Count: 1
60. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 131400 hours, Age: 648 hours, Count: 1
61. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 131400 hours, Age: 648 hours, Count: 1
62. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 145, Average Lifespan: 87600 hours, Age: 600 hours, Count: 1
63. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 175200 hours, Age: 600 hours, Count: 1
64. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 131400 hours, Age: 600 hours, Count: 1
65. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 175200 hours, Age: 576 hours, Count: 1
66. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 131400 hours, Age: 576 hours, Count: 1
67. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 131400 hours, Age: 576 hours, Count: 1
68. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 131400 hours, Age: 576 hours, Count: 1
69. Name: goat, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 131400 hours, Age: 576 hours, Count: 1
70. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 175200 hours, Age: 552 hours, Count: 1
71. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 120, Average Lifespan: 175200 hours, Age: 504 hours, Count: 1
72. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 105, Average Lifespan: 175200 hours, Age: 504 hours, Count: 1
73. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 105, Average Lifespan: 131400 hours, Age: 504 hours, Count: 1
74. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 122640 hours, Age: 480 hours, Count: 1
75. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 480 hours, Count: 1
76. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 120, Average Lifespan: 175200 hours, Age: 480 hours, Count: 1
77. Name: fox, Species: Omnivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 35040 hours, Age: 456 hours, Count: 1
78. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 122640 hours, Age: 432 hours, Count: 1
79. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 432 hours, Count: 1
80. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 130, Average Lifespan: 175200 hours, Age: 432 hours, Count: 1
81. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 131400 hours, Age: 432 hours, Count: 1
82. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 408 hours, Count: 1
83. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 408 hours, Count: 1
84. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 408 hours, Count: 1
85. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 408 hours, Count: 1
86. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 131400 hours, Age: 408 hours, Count: 1
87. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 122640 hours, Age: 384 hours, Count: 1
88. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 384 hours, Count: 1
89. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 75, Average Lifespan: 122640 hours, Age: 384 hours, Count: 1
90. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 175200 hours, Age: 384 hours, Count: 1
91. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 131400 hours, Age: 384 hours, Count: 1
92. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 360 hours, Count: 1
93. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 122640 hours, Age: 360 hours, Count: 1
94. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 95, Average Lifespan: 175200 hours, Age: 360 hours, Count: 1
95. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 140, Average Lifespan: 175200 hours, Age: 360 hours, Count: 1
96. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 122640 hours, Age: 336 hours, Count: 1
97. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 336 hours, Count: 1
98. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 140, Average Lifespan: 175200 hours, Age: 336 hours, Count: 1
99. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 105, Average Lifespan: 87600 hours, Age: 312 hours, Count: 1
100. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 105, Average Lifespan: 122640 hours, Age: 312 hours, Count: 1
101. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 175200 hours, Age: 312 hours, Count: 1
102. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 145, Average Lifespan: 131400 hours, Age: 312 hours, Count: 1
103. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 122640 hours, Age: 288 hours, Count: 1
104. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 150, Average Lifespan: 131400 hours, Age: 288 hours, Count: 1
105. Name: tiger, Species: Carnivore, Food Chain Level: Tertiary, Energy: 115, Average Lifespan: 87600 hours, Age: 264 hours, Count: 1
106. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 264 hours, Count: 1
107. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 110, Average Lifespan: 175200 hours, Age: 264 hours, Count: 1
108. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 110, Average Lifespan: 175200 hours, Age: 264 hours, Count: 1
109. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 264 hours, Count: 1
110. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 175200 hours, Age: 264 hours, Count: 1
111. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 155, Average Lifespan: 131400 hours, Age: 264 hours, Count: 1
112. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 122640 hours, Age: 240 hours, Count: 1
113. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 122640 hours, Age: 240 hours, Count: 1
114. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 175200 hours, Age: 240 hours, Count: 1
115. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 160, Average Lifespan: 131400 hours, Age: 240 hours, Count: 1
116. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 122640 hours, Age: 216 hours, Count: 1
117. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 175200 hours, Age: 216 hours, Count: 1
118. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 175200 hours, Age: 216 hours, Count: 1
119. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 131400 hours, Age: 216 hours, Count: 1
120. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 131400 hours, Age: 216 hours, Count: 1
121. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 130, Average Lifespan: 122640 hours, Age: 192 hours, Count: 1
122. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 175200 hours, Age: 192 hours, Count: 1
123. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 168 hours, Count: 1
124. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 105, Average Lifespan: 175200 hours, Age: 168 hours, Count: 1
125. Name: boar, Species: Omnivore, Food Chain Level: Secondary, Energy: 135, Average Lifespan: 122640 hours, Age: 144 hours, Count: 1
126. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 175200 hours, Age: 144 hours, Count: 1
127. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 175200 hours, Age: 144 hours, Count: 1
128. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 110, Average Lifespan: 131400 hours, Age: 144 hours, Count: 1
129. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 85, Average Lifespan: 122640 hours, Age: 120 hours, Count: 1
130. Name: bear, Species: Omnivore, Food Chain Level: Tertiary, Energy: 145, Average Lifespan: 175200 hours, Age: 120 hours, Count: 1
131. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 115, Average Lifespan: 175200 hours, Age: 120 hours, Count: 1
132. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 96 hours, Count: 1
133. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 95, Average Lifespan: 122640 hours, Age: 96 hours, Count: 1
134. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 131400 hours, Age: 96 hours, Count: 1
135. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 131400 hours, Age: 96 hours, Count: 1
136. Name: pig, Species: Herbivore, Food Chain Level: Secondary, Energy: 120, Average Lifespan: 131400 hours, Age: 96 hours, Count: 1
137. Name: wolf, Species: Carnivore, Food Chain Level: Secondary, Energy: 100, Average Lifespan: 122640 hours, Age: 72 hours, Count: 1
138. Name: deer, Species: Herbivore, Food Chain Level: Secondary, Energy: 125, Average Lifespan: 175200 hours, Age: 72 hours, Count: 1
